r,g,b,h,s,v
158,50,237,275,79,93
46,99,222,222,79,87
133,221,16,86,93,87
152,95,159,293,40,62
61,137,21,99,85,54
33,189,78,137,83,74
166,194,208,200,20,82
185,68,6,21,97,73
145,229,243,189,40,95
107,193,116,126,45,76
112,231,12,93,95,91
49,173,155,171,72,68
104,24,55,337,77,41
30,232,180,165,87,91
245,174,237,307,29,96
92,21,80,310,77,36
61,1,211,257,100,83
242,228,50,56,79,95
104,173,228,207,54,89
62,33,43,339,47,24
49,3,67,283,96,26
170,205,204,178,17,80
244,45,199,314,82,96
144,136,184,250,26,72
202,142,10,41,95,79
0,186,76,145,100,73
89,122,172,216,48,67
64,206,113,141,69,81
196,89,200,298,56,78
238,52,85,349,78,93
195,60,168,312,69,76
121,211,231,191,48,91
120,141,228,228,47,89
121,66,125,296,47,49
110,206,198,175,47,81
178,233,163,107,30,91
183,84,45,17,75,72
97,87,176,247,51,69
7,152,78,149,95,60
28,152,228,203,88,89
236,6,56,347,97,93
61,71,134,232,54,53
56,159,154,177,65,62
24,87,10,109,89,34
55,71,160,231,66,63
147,215,156,128,32,84
6,232,174,165,97,91
219,67,172,319,69,86
42,221,43,120,81,87
75,202,36,106,82,79
174,251,62,84,75,98
218,84,69,6,68,85
153,201,28,77,86,79
54,158,221,203,76,87
123,175,213,205,42,84
220,136,83,23,62,86
4,167,95,153,98,65
56,178,102,143,69,70
113,77,231,254,67,91
21,73,59,164,71,29
140,98,73,22,48,55
160,36,97,330,78,63
151,243,42,87,83,95
78,8,153,269,95,60
88,93,131,233,33,51
15,128,199,203,92,78
5,45,237,230,98,93
133,147,202,228,34,79
58,94,9,85,90,37
140,207,211,183,34,83
56,130,48,114,63,51
128,170,160,166,25,67
237,157,195,332,34,93
238,217,130,48,45,93
248,35,237,303,86,97
25,204,191,176,88,80
155,143,132,29,15,61
190,207,77,68,63,81
226,55,92,347,76,89
68,133,6,91,95,52
107,122,13,68,89,48
101,154,59,93,62,60
85,55,41,19,52,33
140,99,231,259,57,91
82,152,142,171,46,60
86,174,131,151,51,68
72,140,202,209,64,79
193,226,195,124,15,89
178,247,248,181,28,97
130,9,185,281,95,73
153,13,205,284,94,80
177,70,239,278,71,94
42,211,119,147,80,83
169,193,165,111,15,76
100,161,45,92,72,63
111,234,151,140,53,92
170,173,120,63,31,68
2,55,247,227,99,97
126,83,50,26,60,49
188,83,221,286,62,87
227,99,54,16,76,89
100,125,83,96,34,49
3,32,97,221,97,38
249,87,132,343,65,98
231,118,208,312,49,91
17,0,152,247,100,60
220,147,128,12,42,86
35,32,210,241,85,82
75,34,44,345,55,29
130,141,31,66,78,55
237,247,249,190,5,98
64,40,84,273,52,33
88,193,44,102,77,76
66,149,24,100,84,58
76,162,200,198,62,78
194,128,53,32,73,76
94,161,181,194,48,71
221,67,22,14,90,87
198,51,222,292,77,87
50,226,213,176,78,89
145,180,106,88,41,71
87,36,122,276,70,48
248,125,69,19,72,97
69,13,235,255,94,92
134,139,75,65,46,55
123,144,182,219,32,71
89,103,163,229,45,64
199,245,59,75,76,96
74,219,145,149,66,86
131,157,177,206,26,69
163,43,212,283,80,83
4,232,136,155,98,91
40,217,80,134,82,85
59,33,13,26,78,23
123,182,167,165,32,71
225,52,249,293,79,98
87,142,16,86,89,56
189,235,19,73,92,92
55,41,206,245,80,81
187,144,183,306,23,73
241,65,28,10,88,95
57,195,199,182,71,78
40,6,49,287,88,19
103,59,51,9,50,40
66,193,45,111,77,76
233,202,141,40,39,91
13,168,88,149,92,66
214,31,238,293,87,93
83,87,130,235,36,51
55,62,24,71,61,24
143,146,208,237,31,82
9,211,128,155,96,83
193,34,207,295,84,81
158,244,78,91,68,96
6,21,50,220,88,20
39,252,123,144,85,99
113,101,183,249,45,72
249,194,14,46,94,98
179,185,49,63,74,73
157,153,175,251,13,69
48,27,175,249,85,69
87,243,248,182,65,97
181,56,92,343,69,71
49,77,23,91,70,30
101,120,162,221,38,64
47,118,168,205,72,66
7,208,81,142,97,82
25,20,139,243,86,55
209,143,79,30,62,82
140,19,79,330,86,55
242,24,62,350,90,95
24,135,228,207,89,89
199,6,72,339,97,78
202,47,93,342,77,79
116,39,99,313,66,45
210,123,17,33,92,82
188,153,18,48,90,74
247,54,66,356,78,97
202,215,67,65,69,84
34,59,123,223,72,48
122,91,251,252,64,98
17,37,205,234,92,80
197,178,177,3,10,77
10,35,140,228,93,55
196,213,234,213,16,92
144,75,112,328,48,56
70,96,66,112,31,38
237,112,100,5,58,93
163,1,108,320,99,64
84,74,145,248,49,57
102,72,203,254,65,80
134,127,116,37,13,53
190,85,149,323,55,75
2,149,32,132,99,58
254,230,216,22,15,100
23,51,203,231,89,80
219,60,244,292,75,96
199,113,139,342,43,78
104,178,193,190,46,76
194,3,230,290,99,90
167,67,239,275,72,94
184,246,160,103,35,96
81,11,127,276,91,50
186,192,37,62,81,75
28,61,75,198,63,29
170,65,161,305,62,67
120,31,4,14,97,47
12,217,194,173,94,85
124,116,232,244,50,91
157,39,84,337,75,62
72,149,145,177,52,58
126,4,144,292,97,56
254,6,65,346,98,100
141,7,82,326,95,55
11,2,165,243,99,65
10,12,204,239,95,80
20,239,27,122,92,94
235,29,8,6,97,92
60,168,179,186,66,70
52,101,196,220,73,77
117,138,116,117,16,54
178,239,204,146,26,94
253,0,218,308,100,99
179,212,23,70,89,83
0,117,242,211,100,95
51,154,133,168,67,60
227,125,116,5,49,89
250,188,154,21,38,98
210,91,68,10,68,82
88,193,50,104,74,76
119,112,131,262,15,51
121,177,128,128,32,69
60,252,178,157,76,99
235,63,9,14,96,92
97,245,250,182,61,98
156,79,52,16,67,61
216,111,182,319,49,85
3,104,122,189,98,48
80,196,196,180,59,77
142,105,118,339,26,56
63,202,13,104,94,79
205,63,44,7,79,80
201,43,191,304,79,79
216,231,81,66,65,91
221,17,183,311,92,87
16,58,95,208,83,37
3,81,244,221,99,96
156,68,8,24,95,61
61,168,113,149,64,66
152,92,5,36,97,60
183,229,176,112,23,90
201,136,183,317,32,79
133,126,213,245,41,84
162,27,82,336,83,64
76,133,162,200,53,64
119,145,59,78,59,57
52,151,67,129,66,59
235,149,212,316,37,92
62,71,77,204,19,30
59,149,18,101,88,58
155,94,65,19,58,61
217,225,207,87,8,88
189,112,61,24,68,74
25,201,111,149,88,79
164,130,125,8,24,64
160,222,242,195,34,95
123,91,131,288,31,51
238,213,244,288,13,96
37,129,227,211,84,89
43,96,12,98,88,38
67,100,142,214,53,56
53,68,46,101,32,27
205,206,164,61,20,81
216,191,229,279,17,90
247,97,129,347,61,97
151,136,85,46,44,59
79,30,169,261,82,66
197,191,44,58,78,77
224,10,136,325,96,88
79,80,229,240,66,90
44,191,16,110,92,75
78,106,72,109,32,42
21,159,179,188,88,70
23,206,86,141,89,81
57,240,10,108,96,94
104,106,146,237,29,57
131,169,190,201,31,75
11,228,83,140,95,89
161,84,212,276,60,83
141,135,175,249,23,69
175,22,22,0,87,69
143,50,177,284,72,69
82,18,102,286,82,40
73,101,193,226,62,76
246,222,241,313,10,96
197,93,57,15,71,77
22,23,75,239,71,29
176,248,88,87,65,97
57,224,55,119,75,88
8,84,56,158,90,33
168,110,224,271,51,88
89,151,141,170,41,59
3,49,189,225,98,74
132,114,169,260,33,66
25,235,55,129,89,92
115,132,14,69,89,52
150,0,197,286,100,77
226,101,187,319,55,89
48,86,3,87,97,34
228,244,87,66,64,96
38,94,138,206,72,54
172,10,250,280,96,98
212,182,16,51,92,83
133,18,184,282,90,72
193,180,110,51,43,76
115,48,181,270,73,71
47,22,32,336,53,18
194,107,157,326,45,76
80,75,24,55,70,31
180,109,166,312,39,71
5,201,10,122,98,79
58,115,58,120,50,45
135,206,204,178,34,81
50,22,238,248,91,93
90,128,43,87,66,50
62,76,184,233,66,72
60,30,100,266,70,39
240,139,245,297,43,96
226,49,15,10,93,89
217,136,22,35,90,85
25,200,146,161,88,78
202,65,93,348,68,79
218,137,75,26,66,85
89,115,121,191,26,47
24,109,32,126,78,43
57,238,181,161,76,93
228,132,21,32,91,89
156,34,8,11,95,61
166,137,246,256,44,96
54,39,230,245,83,90
12,178,244,197,95,96
138,25,4,9,97,54
50,151,128,166,67,59
31,78,49,143,60,31
152,249,183,139,39,98
4,121,165,196,98,65
27,190,85,141,86,75
30,230,122,148,87,90
13,179,176,179,93,70
17,7,10,342,59,7
151,138,44,53,71,59
138,215,92,98,57,84
59,18,55,306,69,23
103,86,190,250,55,75
85,208,62,111,70,82
131,95,198,261,52,78
71,79,42,73,47,31
222,164,158,6,29,87
188,143,19,44,90,74
10,111,254,215,96,100
156,251,81,94,68,98
116,111,8,57,93,45
253,243,93,56,63,99
193,170,198,289,14,78
154,44,87,337,71,60
54,32,63,283,49,25
202,151,101,30,50,79
153,90,240,265,62,94
172,60,174,299,66,68
85,239,223,174,64,94
39,171,51,125,77,67
191,186,142,54,26,75
159,166,94,66,43,65
163,86,123,331,47,64
28,3,174,249,98,68
180,73,56,8,69,71
98,18,105,295,83,41
227,253,248,168,10,99
173,230,49,79,79,90
15,120,221,209,93,87
130,184,144,136,29,72
166,31,112,324,81,65
23,24,53,238,57,21
18,139,78,150,87,55
232,76,17,16,93,91
246,192,238,309,22,96
145,152,136,86,11,60
171,145,129,23,25,67
36,25,181,244,86,71
112,189,238,203,53,93
131,251,161,135,48,98
56,67,97,224,42,38
102,182,240,205,57,94
87,115,203,226,57,80
41,248,43,121,83,97
158,49,99,332,69,62
184,138,69,36,63,72
141,249,144,122,43,98
193,16,212,294,92,83
59,88,207,228,71,81
242,190,232,312,21,95
151,156,110,67,29,61
155,75,247,268,70,97
122,171,168,176,29,67
150,239,43,87,82,94
183,30,30,0,84,72
106,6,108,299,94,42
186,151,157,350,19,73
135,233,175,144,42,91
39,254,182,160,85,100
54,166,154,174,67,65
125,12,12,0,90,49
12,73,222,223,95,87
237,87,70,6,70,93
29,11,52,266,79,20
110,69,126,283,45,49
112,134,23,72,83,53
0,94,24,135,100,37
208,245,5,69,98,96
106,181,28,89,85,71
44,217,80,132,80,85
228,17,23,358,93,89
157,35,39,358,78,62
205,171,238,270,28,93
50,122,194,210,74,76
161,140,159,306,13,63
20,188,182,178,89,74
6,122,63,149,95,48
138,102,123,325,26,54
116,18,208,271,91,82
238,164,91,30,62,93
170,26,184,295,86,72
213,18,84,340,92,84
133,194,97,98,50,76
207,72,136,332,65,81
250,89,58,10,77,98
249,103,206,318,59,98
115,143,10,73,93,56
20,129,92,160,84,51
191,110,121,352,42,75
233,79,0,20,100,91
194,113,93,12,52,76
132,63,186,274,66,73
138,155,175,212,21,69
133,253,111,111,56,99
41,93,253,225,84,99
68,123,94,148,45,48
209,75,176,315,64,82
65,41,71,288,42,28
236,144,54,30,77,93
88,247,243,178,64,97
64,192,154,162,67,75
42,142,93,151,70,56
113,20,236,266,92,93
79,13,214,260,94,84
6,196,244,192,98,96
153,109,138,320,29,60
10,148,76,149,93,58
225,188,79,45,65,88
176,21,160,306,88,69
144,33,48,352,77,56
148,199,56,81,72,78
24,168,134,166,86,66
252,32,216,310,87,99
76,156,17,95,89,61
40,239,169,159,83,94
51,129,115,169,60,51
149,137,156,278,12,61
59,214,3,104,99,84
59,169,106,146,65,66
115,20,163,280,88,64
236,8,64,345,97,93
13,169,5,117,97,66
48,154,28,110,82,60
4,173,6,121,98,68
81,194,241,198,66,95
93,164,95,122,43,64
226,50,26,7,88,89
88,154,68,106,56,60
134,97,121,321,28,53
114,253,193,154,55,99
218,218,64,60,71,85
136,232,249,189,45,98
20,205,19,120,91,80
93,244,203,164,62,96
17,91,115,195,85,45
198,139,41,37,79,78
107,122,168,225,36,66
145,3,122,310,98,57
41,117,108,173,65,46
4,87,10,124,95,34
182,109,161,317,40,71
116,36,2,18,98,45
186,101,200,292,50,78
243,49,236,302,80,95
209,172,80,43,62,82
164,225,70,84,69,88
59,72,97,219,39,38
227,154,29,38,87,89
52,180,67,127,71,71
143,221,32,85,86,87
238,232,169,55,29,93
101,49,59,348,51,40
60,190,215,190,72,84
168,238,81,87,66,93
30,251,165,157,88,98
10,28,35,197,71,14
64,170,198,193,68,78
37,155,44,124,76,61
109,48,72,336,56,43
155,90,107,344,42,61
88,6,61,320,93,35
164,245,230,169,33,96
226,60,2,16,99,89
48,206,103,141,77,81
197,240,6,71,98,94
106,74,142,268,48,56
62,29,78,280,63,31
2,57,243,226,99,95
4,83,122,200,97,48
6,61,195,223,97,76
248,86,20,17,92,97
71,98,80,140,28,38
242,118,227,307,51,95
254,120,34,23,87,100
139,105,108,355,24,55
140,194,181,166,28,76
211,15,105,332,93,83
80,247,240,177,68,97
53,191,166,169,72,75
151,211,235,197,36,92
49,222,225,181,78,88
176,188,191,192,8,75
41,213,117,147,81,84
116,229,222,176,49,90
179,240,11,76,95,94
76,146,110,149,48,57
74,3,58,314,96,29
189,71,221,287,68,87
202,228,77,70,66,89
197,55,102,340,72,77
119,239,198,160,50,94
33,20,90,251,78,35
116,116,113,60,3,45
128,7,241,271,97,95
7,204,14,122,97,80
174,132,189,284,30,74
36,43,202,237,82,79
62,117,112,175,47,46
246,22,229,305,91,96
160,202,53,77,74,79
18,69,203,223,91,80
38,217,135,153,82,85
163,190,18,69,91,75
238,16,211,307,93,93
187,225,163,97,28,88
7,248,10,121,97,97
134,150,15,67,90,59
186,231,122,85,47,91
81,144,161,193,50,63
17,224,248,186,93,97
14,157,123,166,91,62
145,136,254,245,46,100
64,52,243,244,79,95
57,201,195,178,72,79
93,37,219,258,83,86
23,76,19,116,75,30
81,221,18,101,92,87
10,130,185,199,95,73
151,98,219,266,55,86
214,249,22,69,91,98
127,59,218,266,73,85
166,153,36,54,78,65
71,17,245,254,93,96
60,83,189,229,68,74
29,89,228,222,87,89
121,7,53,336,94,47
246,77,150,334,69,96
19,159,149,176,88,62
91,193,140,149,53,76
114,210,190,168,46,82
141,117,55,43,61,55
77,98,129,216,40,51
218,70,169,320,68,85
38,31,50,262,38,20
238,195,104,41,56,93
248,205,243,307,17,97
2,95,142,200,99,56
238,78,85,357,67,93
30,139,102,160,78,55
6,56,46,168,89,22
158,58,148,306,63,62
245,130,171,339,47,96
27,30,164,239,84,64
43,73,14,91,81,29
172,200,239,215,28,94
51,20,224,249,91,88
122,70,147,281,52,58
95,2,71,315,98,37
178,163,203,263,20,80
154,67,52,9,66,60
128,172,121,112,30,67
83,76,62,40,25,33
125,20,4,8,97,49
144,33,223,275,85,87
179,198,128,76,35,78
246,35,39,359,86,96
236,4,7,359,98,93
6,192,203,183,97,80
16,8,32,260,75,13
173,36,10,10,94,68
126,10,209,275,95,82
24,121,186,204,87,73
13,177,143,168,93,69
185,218,195,138,15,85
71,76,101,230,30,40
23,69,52,158,67,27
209,249,59,73,76,98
157,69,94,343,56,62
128,159,109,97,31,62
180,156,138,26,23,71
164,36,189,290,81,74
1,148,117,167,99,58
103,37,240,260,85,94
119,49,166,276,70,65
32,130,8,108,94,51
160,160,51,60,68,63
113,179,97,108,46,70
123,249,142,129,51,98
228,76,106,348,67,89
0,50,6,127,100,20
38,57,248,235,85,97
76,9,122,276,93,48
223,162,252,281,36,99
239,23,95,340,90,94
124,238,238,180,48,93
161,240,108,96,55,94
90,26,169,267,85,66
7,226,35,128,97,89
150,144,146,340,4,59
209,64,242,289,74,95
116,163,240,217,52,94
38,35,7,54,82,15
183,253,72,83,72,99
69,236,79,124,71,93
86,46,178,258,74,70
110,179,82,103,54,70
209,183,128,41,39,82
188,9,201,296,96,79
76,135,102,146,44,53
221,212,155,52,30,87
57,193,215,188,73,84
160,246,93,94,62,96
52,104,195,218,73,76
110,17,8,5,93,43
22,13,178,243,93,70
165,19,139,311,88,65
194,202,17,63,92,79
42,145,73,138,71,57
208,78,85,357,63,82
203,253,195,112,23,99
24,38,130,232,82,51
97,19,3,10,97,38
91,193,191,179,53,76
117,241,232,176,51,95
9,208,153,163,96,82
50,85,175,223,71,69
229,42,142,328,82,90
128,0,68,328,100,50
177,172,25,58,86,69
71,4,53,316,94,28
14,12,233,241,95,91
62,73,187,235,67,73
253,201,174,21,31,99
191,241,91,80,62,95
69,225,154,153,69,88
168,232,204,154,28,91
248,102,3,24,99,97
77,11,215,259,95,84
246,42,20,6,92,96
14,47,242,231,94,95
55,48,235,242,80,92
87,55,90,295,39,35
126,39,82,330,69,49
74,190,178,174,61,75
247,140,9,33,96,97
118,195,128,128,39,76
216,81,182,315,63,85
9,219,1,118,100,86
178,108,65,23,63,70
241,159,252,293,37,99
184,250,214,147,26,98
122,206,246,199,50,96
5,81,96,190,95,38
172,209,171,118,18,82
105,140,142,183,26,56
22,141,86,152,84,55
57,44,108,252,59,42
193,175,144,38,25,76
104,119,243,234,57,95
254,25,107,339,90,100
217,16,134,325,93,85
170,76,150,313,55,67
212,245,127,77,48,96
79,94,168,230,53,66
26,80,73,172,68,31
129,23,136,296,83,53
147,254,179,138,42,100
53,247,2,108,99,97
135,62,197,272,69,77
161,246,96,94,61,96
188,112,250,273,55,98
124,143,40,71,72,56
91,175,3,89,98,69
10,83,39,144,88,33
39,205,185,173,81,80
40,87,116,203,66,45
27,177,145,167,85,69
55,116,25,100,78,45
1,118,156,195,99,61
94,57,230,253,75,90
49,139,40,115,71,55
175,87,156,313,50,69
134,136,51,61,63,53
11,246,37,127,96,96
28,70,24,115,66,27
40,75,58,151,47,29
46,217,254,191,82,100
17,45,80,213,79,31
166,254,236,168,35,100
254,184,222,327,28,100
243,218,109,49,55,95
168,24,163,302,86,66
169,221,236,193,28,93
94,164,47,96,71,64
171,14,41,350,92,67
119,196,157,150,39,77
213,72,125,337,66,84
221,239,49,66,79,94
43,5,16,343,88,17
142,91,92,359,36,56
110,84,230,251,63,90
74,250,128,138,70,98
31,115,45,130,73,45
225,238,162,70,32,93
77,173,69,115,60,68
23,157,19,118,88,62
106,42,25,13,76,42
96,29,146,274,80,57
46,235,64,126,80,92
37,205,33,119,84,80
94,235,231,178,60,92
44,90,206,223,79,81
219,16,132,326,93,86
204,198,21,58,90,80
247,221,139,46,44,97
176,111,45,30,74,69
95,139,11,81,92,55
222,38,149,324,83,87
15,0,6,336,100,6
60,87,58,116,33,34
208,86,41,16,80,82
58,4,20,342,93,23
234,1,227,302,100,92
119,65,200,264,68,78
46,7,143,257,95,56
32,37,8,70,78,15
77,96,41,81,57,38
28,18,238,243,92,93
80,31,135,268,77,53
31,49,192,233,84,75
25,96,9,109,91,38
17,149,180,191,91,71
11,50,152,223,93,60
220,87,56,11,75,86
197,177,7,54,96,77
191,122,155,331,36,75
117,194,246,204,52,96
3,68,150,213,98,59
216,85,11,22,95,85
85,182,131,148,53,71
44,210,173,167,79,82
3,115,214,208,99,84
160,227,103,92,55,89
214,5,14,357,98,84
50,41,113,247,64,44
96,124,252,229,62,99
46,148,44,119,70,58
21,53,198,229,89,78
103,14,143,281,90,56
67,131,166,201,60,65
205,88,165,321,57,80
63,180,61,119,66,71
39,52,180,234,78,71
157,41,10,13,94,62
188,218,33,70,85,85
154,171,208,221,26,82
63,184,139,158,66,72
55,193,162,167,72,76
31,174,75,138,82,68
161,188,101,79,46,74
16,100,197,212,92,77
111,171,58,92,66,67
192,85,56,13,71,75
200,39,162,314,81,78
193,70,54,7,72,76
93,242,58,109,76,95
17,82,164,213,90,64
25,127,180,201,86,71
197,242,100,79,59,95
247,172,204,334,30,97
202,76,158,321,62,79
57,150,89,141,62,59
91,192,23,96,88,75
183,19,162,308,90,72
252,110,178,331,56,99
240,231,47,57,80,94
221,48,200,307,78,87
211,78,99,351,63,83
24,216,137,155,89,85
242,169,75,34,69,95
120,213,187,163,44,84
173,224,9,74,96,88
93,7,75,313,92,36
90,84,76,34,16,35
252,163,208,330,35,99
198,28,39,356,86,78
73,20,248,254,92,97
100,242,232,176,59,95
43,160,196,194,78,77
140,134,234,244,43,92
33,243,68,130,86,95
113,88,91,353,22,44
99,225,101,121,56,88
55,164,31,109,81,64
179,67,27,16,85,70
82,184,238,201,66,93
211,0,138,321,100,83
107,77,36,35,66,42
7,159,24,127,96,62
159,79,121,329,50,62
159,183,243,223,35,95
77,46,248,249,81,97
19,159,61,138,88,62
12,128,3,116,98,50
162,22,216,283,90,85
179,103,23,31,87,70
71,235,158,152,70,92
10,172,95,151,94,67
172,84,101,348,51,67
92,196,207,186,56,81
102,209,125,133,51,82
60,94,77,150,36,37
49,244,199,166,80,96
58,129,58,120,55,51
249,226,214,21,14,98
121,188,232,204,48,91
41,17,160,250,89,63
56,65,183,236,69,72
119,23,176,278,87,69
197,230,167,91,27,90
181,115,19,36,90,71
94,222,33,101,85,87
226,202,124,46,45,89
213,1,171,312,100,84
126,117,149,257,21,58
136,87,11,36,92,53
211,230,164,77,29,90
100,243,5,96,98,95
212,51,102,341,76,83
61,23,235,251,90,92
157,156,209,241,25,82
229,38,71,350,83,90
67,165,71,122,59,65
46,2,197,254,99,77
185,8,111,325,96,73
2,222,179,168,99,87
114,64,107,308,44,45
86,203,136,146,58,80
79,133,14,87,89,52
163,106,174,290,39,68
150,141,190,251,26,75
77,123,166,209,54,65
78,2,100,287,98,39
87,163,73,111,55,64
187,69,115,337,63,73
0,64,45,162,100,25
45,17,132,255,87,52
68,165,162,178,59,65
10,84,141,206,93,55
214,170,99,37,54,84
190,253,36,77,86,99
10,107,27,131,91,42
179,158,37,51,79,70
52,193,154,163,73,76
228,106,191,318,54,89
116,172,92,102,47,67
4,133,163,191,98,64
154,59,112,327,62,60
60,226,236,183,75,93
67,41,49,342,39,26
101,175,196,193,48,77
156,95,177,285,46,69
84,138,140,182,40,55
40,137,82,146,71,54
135,47,140,297,66,55
84,105,135,215,38,53
233,143,249,291,43,98
20,2,241,245,99,95
58,44,51,330,24,23
230,3,122,329,99,90
21,11,3,27,86,8
249,168,117,23,53,98
68,112,239,225,72,94
35,1,145,254,99,57
79,65,102,263,36,40
136,10,80,327,93,53
109,85,82,7,25,43
204,101,105,358,50,80
16,62,108,210,85,42
204,71,97,348,65,80
200,129,221,286,42,87
215,145,245,282,41,96
44,29,16,28,64,17
212,25,246,291,90,96
174,126,91,25,48,68
19,168,13,118,92,66
98,156,213,210,54,84
63,161,241,207,74,95
64,39,88,271,56,35
253,142,178,341,44,99
193,19,154,313,90,76
41,10,107,259,91,42
253,137,252,301,46,99
47,61,37,95,39,24
200,136,189,310,32,78
10,137,2,116,99,54
210,226,105,68,54,89
19,174,209,191,91,82
111,123,41,69,67,48
136,133,116,51,15,53
119,203,196,175,41,80
165,157,109,51,34,65
98,182,244,205,60,96
227,251,170,78,32,98
19,2,254,244,99,100
118,203,0,85,100,80
132,87,47,28,64,52
158,176,201,215,21,79
195,160,132,27,32,76
26,190,245,195,89,96
105,59,93,316,44,41
152,126,113,20,26,60
166,100,61,22,63,65
217,75,160,324,65,85
44,150,79,140,71,59
246,22,170,320,91,96
149,9,63,337,94,58
49,157,119,159,69,62
209,115,102,7,51,82
8,132,205,202,96,80
158,200,114,89,43,78
2,233,129,153,99,91
72,3,172,264,98,67
132,75,16,31,88,52
243,25,246,299,90,96
33,217,217,180,85,85
242,57,18,10,93,95
8,167,133,167,95,65
124,114,100,35,19,49
28,132,17,114,87,52
253,231,41,54,84,99
144,231,46,88,80,91
33,245,32,120,87,96
195,149,224,277,33,88
140,175,87,84,50,69
30,206,124,152,85,81
41,33,1,48,98,16
180,43,233,283,82,91
71,109,181,219,61,71
110,211,125,129,48,83
125,78,33,29,74,49
48,107,25,103,77,42
174,144,121,26,30,68
143,249,110,106,56,98
137,199,251,207,45,98
83,110,158,218,47,62
105,118,214,233,51,84
106,71,69,3,35,42
117,183,89,102,51,72
11,58,177,223,94,69
55,79,58,127,30,31
119,181,171,170,34,71
213,70,22,15,90,84
190,20,217,292,91,85
14,94,141,202,90,55
214,34,119,332,84,84
227,91,230,299,60,90
0,206,128,157,100,81
54,201,105,141,73,79
3,144,61,145,98,56
135,21,158,290,87,62
80,4,13,353,95,31
213,188,195,343,12,84
110,204,79,105,61,80
144,181,42,76,77,71
55,8,61,293,87,24
35,187,247,197,86,97
116,117,31,61,74,46
79,139,190,208,58,75
65,206,156,159,68,81
68,106,151,213,55,59
126,182,167,164,31,71
41,4,116,260,97,45
122,253,139,128,52,99
59,55,36,50,39,23
185,254,118,90,54,100
133,251,56,96,78,98
173,78,124,331,55,68
71,190,130,150,63,75
85,182,210,193,60,82
126,102,71,34,44,49
174,203,61,72,70,80
63,136,52,112,62,53
245,48,92,347,80,96
137,219,161,138,37,86
73,180,126,150,59,71
8,248,173,161,97,97
188,55,205,293,73,80
137,223,95,100,57,87
171,58,180,296,68,71
211,48,64,354,77,83
32,157,104,155,80,62
158,184,218,214,28,85
141,74,106,331,48,55
36,73,150,221,76,59
207,155,29,42,86,81
234,180,179,1,24,92
65,56,253,243,78,99
168,14,36,351,92,66
184,200,156,82,22,78
10,250,236,177,96,98
12,0,105,247,100,41
90,30,33,357,67,35
115,237,29,95,88,93
161,116,57,34,65,63
147,170,178,195,17,70
138,239,13,87,95,94
103,200,84,110,58,78
210,178,128,37,39,82
248,173,120,25,52,97
39,130,192,204,80,75
111,228,141,135,51,89
118,176,23,83,87,69
14,88,201,216,93,79
186,162,137,31,26,73
212,161,64,39,70,83
234,28,154,323,88,92
245,173,165,6,33,96
94,194,172,167,52,76
232,143,218,309,38,91
111,206,120,126,46,81
179,130,155,329,27,70
54,94,100,188,46,39
73,72,223,240,68,87
7,124,199,203,96,78
146,129,69,47,53,57
112,65,249,255,74,98
158,222,85,88,62,87
245,249,13,61,95,98
35,206,70,132,83,81
9,45,114,219,92,45
77,250,122,136,69,98
23,60,97,210,76,38
227,96,25,21,89,89
138,213,221,186,38,87
1,208,59,137,100,82
92,214,18,97,92,84
67,27,52,323,60,26
13,192,129,159,93,75
142,164,148,136,13,64
75,94,141,223,47,55
36,4,44,288,91,17
20,188,175,175,89,74
90,247,52,108,79,97
52,106,172,213,70,67
6,206,50,133,97,81
20,133,241,209,92,95
89,107,101,160,17,42
50,46,224,241,79,88
93,123,91,116,26,48
142,85,28,30,80,56
218,239,237,174,9,94
254,53,65,356,79,100
7,55,54,179,87,22
52,72,206,232,75,81
245,252,227,77,10,99
156,167,167,180,7,65
220,90,217,301,59,86
19,181,27,123,90,71
3,235,140,155,99,92
112,240,205,164,53,94
202,174,109,42,46,79
152,40,231,275,83,91
99,143,50,88,65,56
192,92,156,322,52,75
22,115,78,156,81,45
103,17,7,6,93,40
50,130,164,198,70,64
66,14,36,335,79,26
120,27,17,6,86,47
69,45,19,31,72,27
80,78,130,242,40,51
110,97,123,270,21,48
112,206,26,91,87,81
35,37,79,237,56,31
74,147,240,214,69,94
131,235,167,141,44,92
145,46,57,353,68,57
132,91,186,266,51,73
129,137,96,72,30,54
98,67,139,266,52,55
132,242,252,185,48,99
123,230,80,103,65,90
59,7,67,292,90,26
100,50,105,295,52,41
15,83,188,216,92,74
51,72,52,123,29,28
37,52,150,232,75,59
171,95,155,313,44,67
201,35,124,328,83,79
82,50,97,281,48,38
149,107,158,289,32,62
121,243,52,98,79,95
219,47,144,326,79,86
119,209,204,177,43,82
117,143,63,79,56,56
224,192,210,326,14,88
113,12,252,265,95,99
105,76,34,35,68,41
241,97,17,21,93,95
98,172,113,132,43,67
4,152,92,156,97,60
79,206,99,129,62,81
14,210,99,146,93,82
229,28,105,337,88,90
52,245,49,119,80,96
242,231,121,55,50,95
193,8,133,319,96,76
128,195,25,84,87,76
181,233,39,76,83,91
1,20,17,171,95,8
175,48,194,292,75,76
114,134,153,209,25,60
216,185,146,33,32,85
119,64,34,21,71,47
187,202,89,68,56,79
77,187,48,107,74,73
198,61,120,334,69,78
145,7,42,345,95,57
162,145,91,46,44,64
118,236,31,95,87,93
40,28,15,31,63,16
58,77,108,217,46,42
45,163,46,121,72,64
